user_id_str,hashtags,cashtags
1616682631651000320,"giveaways, nft, nfts, NFTCommunity, SOL, SolanaNFTs, Solana, SolanaNFT, nftart, NFTdrop",-
1354749633168240640,"NFT, NFTGiveaway",-
1149979453805727744,"NFT, NFTGiveaway",-
1435519305999912960,"NFTs, NFTGiveaway, NFTCommunity",SOL
1396494680083386368,"NFT, NFTGiveaway",-
1519677186105835520,"NFT, NFTGiveaway",-
1104139708291076096,"NFT, NFTGiveaway",-
1623932899115556864,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1488362203635933184,"NFT, NFTGiveaway",-
1452208766804500480,"NFT, NFTGiveaway",-
1471394359840960512,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1584840030736060416,"NFT, NFTGiveaway",-
1351586526568845312,"NFT, NFTGiveaway",-
1357248708497260544,"NFT, NFTGiveaway",-
1605568682134233088,"NFT, NFTGiveaway",-
1525167344498184192,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1266845820168609792,"NFT, NFTGiveaway",-
1382431008696467456,"NFT, NFTGiveaway",-
1448004398945214464,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1515497755648700416,"NFT, NFTGiveaway",-
1498326235130494976,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1366782616674861056,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1195248446581571584,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
858015420,"NFT, NFTGiveaway",-
1382369637246009344,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1074334098590580736,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1631251117710651392,"NFT, NFTGiveaway",-
1412279936048537600,"NFT, NFTdrops, NFTGiveaways, NFTs, ETH, NFTCommunity, NFTGiveaway, PolygonNFT, Giveaway, NFTartists, aiartist, midjourny, ad",-
1303893464619204608,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1550925314183790592,"NFT, NFTGiveaway",-
1630462423168860160,"NFT, NFTGiveaway",-
1629385450002477056,"NFT, NFTGiveaway",-
1517148516464078848,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1630928547492646912,"NFT, NFTGiveaway",-
832933542762016768,"NFT, NFTGiveaway",-
1368559700904718336,"NFT, NFTGiveaway",-
1627358238189449216,"NFT, NFTGiveaway",-
947056025013714944,"NFT, NFTGiveaway",-
1399992874507280384,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1526833693989277696,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1601942494157197312,"nftcollectors, NFTartist, NFTGiveaway, NFT, opensea, Giveaways, GIF, NFTsales, NFTCommunity, NFTdrop, NFTs, art, digitalart, artist, Drop, anime",-
1600095136029224960,"NFTGiveaway, ETH, NFTCommunity, NFTLaunch, NFTdrop, NFTs, NFTcollectors, FreeMint",-
1534932676922122240,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1480778043400470528,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
4593486912,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1630158642401136640,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1490225590217359360,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1562288710976020480,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1486517407682379776,"NFT, GIVEAWAY, NFTs, ETH, nftgiveaway, nfts, NFTGiveaways, giveaways, ethnft, nfts, EthGiveaway, freenft, OpenSea, nftsale",-
1549071242380120064,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
111375885,"NFTs, NFTCommmunity, NFTGiveaway",-
1583098294179631104,"NFT, NFTGiveaway",-
1488010710827569152,"NFT, NFTGiveaway",-
1370014146801074176,"NFT, NFTGiveaway",-
1428341569170513920,"NFT, NFTGiveaway",-
1133781297480945664,"NFT, NFTGiveaway",-
1386547741845716992,"NFT, NFTGiveaway",-
1583090231863283712,"NFT, NFTGiveaway",-
1407690529526095872,"NFT, NFTGiveaway",-
1329511753156231168,"NFT, NFTGiveaway",-
1422426295418294272,"NFT, NFTGiveaway",-
1366200017271234560,"NFT, NFTGiveaway",-
1477324865023594496,"NFT, NFTGiveaway",-
1372885614803095552,"NFT, NFTGiveaway",-
4623133354,"NFT, NFTGiveaway",-
964625496301547520,"NFT, NFTGiveaway",-
1477323960261824512,"NFT, NFTGiveaway",-
1568634559717310464,"NFT, NFTGiveaway",-
1370977546288820224,"NFT, NFTGiveaway",-
1564864425038856192,"NFT, NFTGiveaway",-
1477991167157411840,"NFT, NFTGiveaway",-
1590245913356034048,"NFT, NFTGiveaway",-
872266954349752320,"NFT, NFTGiveaway",-
743912186234429440,"NFT, NFTGiveaway",-
1354726112341815296,"NFT, NFTGiveaway",-
1131916092790562816,"NFT, NFTGiveaway",-
1272628684344758272,"NFT, NFTGiveaway",-
1330337984315486208,"NFT, NFTGiveaway",-
1403508162448134144,"NFT, NFTGiveaway",-
1618497311113609216,"NFT, NFTGiveaway",-
1630480938005151744,"NFT, NFTGiveaway",-
567565559,"NFT, NFTGiveaway",-
1342393013637505024,"NFT, NFTGiveaway",-
1389702471820451840,"NFT, NFTGiveaway",-
1529100166464159744,"NFT, NFTGiveaway",-
1727185758,"NFT, NFTGiveaway",-
1382600360489938944,"NFT, NFTGiveaway",-
1489994354584436736,"NFT, NFTGiveaway",-
1447528209801613312,"NFT, NFTGiveaway",-
258435389,"NFT, NFTGiveaway",-
1283468983765786624,"NFT, NFTGiveaway",-
1385670624719351808,"NFT, NFTGiveaway",-
1585843676538114048,"NFT, NFTGiveaway",-
1389039647456595968,"NFT, NFTGiveaway",-
2980817961,"NFT, NFTGiveaway",-
820711047178973184,"绘画, 板绘, 絵描きさんと繋がりたい, NFTGiveaway, NFTdrop, NFTs, NFTCommunity, NFTshill, 絵描きさんと繋がりたい, イラスト, Solana, SolanaNFT, NFTGiveaway",-
1385958076721766400,"NFT, NFTGiveaway",-
1335624087276638208,"NFT, NFTGiveaway",-
984435427103961088,"NFT, NFTGiveaway",-
1473930588394459136,"NFT, NFTGiveaway",-
1397202799025430528,"NFT, NFTGiveaway",-
1511768978330316800,"NFT, NFTGiveaway",-
1591866201914884096,"NFT, NFTGiveaway",-
2246694624,"NFT, NFTGiveaway",-
1512784698484965376,"ETH, NFTdrops, NFTartists, nftcollectors, NFTGiveaway, openseaNFt, opensea, NFTGiveaways, NFTCommuntiy, NFTshills, NFTartist, NFTsales, NFTdrop",-
914563437296005120,"NFT, NFTGiveaway",-
831011847998300160,"NFT, NFTGiveaway",-
1475084070354829312,"NFT, NFTGiveaway",-
1630573778974683136,"NFT, NFTGiveaway",-
1424663285526376448,"NFT, NFTGiveaway",-
1458978374739582976,"NFT, NFTGiveaway",-
1493565810090340352,"NFT, NFTGiveaway",-
1463698143581593600,"NFT, NFTGiveaway",-
1380463300467687424,"NFT, NFTGiveaway",-
1471126486673342464,"NFT, NFTGiveaway",-
1588328262400352256,"NFT, NFTGiveaway",-
1383943870304587776,"NFT, NFTGiveaway",-
1483129048377159680,"NFT, NFTGiveaway",-
1078286190644809728,"NFT, NFTGiveaway",-
1442418199106973696,"NFT, NFTGiveaway",-
1155756713204768768,"NFT, NFTGiveaway",-
1464953164910632960,"NFT, NFTGiveaway",-
1601528647995002880,"NFT, NFTGiveaway",-
1558522582936068096,"NFT, NFTGiveaway",-
1348611700925243392,"NFT, NFTGiveaway",-
1628362985562603520,"NFT, NFTGiveaway",-
1414984716407562240,"NFT, NFTGiveaway",-
1414279890388406272,"NFT, NFTGiveaway",-
2954658374,"NFT, NFTGiveaway",-
1521143956867887104,"NFT, NFTGiveaway",-
1608842077399568384,"NFT, NFTGiveaway",-
1156401371601625088,"NFT, NFTGiveaway",-
1514741488449916928,"NFT, NFTGiveaway",-
1404364505610600448,"NFT, NFTGiveaway",-
1539233711279214592,"NFT, NFTGiveaway",-
1183084776481144832,"NFT, NFTGiveaway",-
2239720859,"NFT, NFTGiveaway",-
1520305456840945664,"NFT, NFTGiveaway",-
1272207202447736832,"NFT, NFTGiveaway",-
1438779820670799872,"NFT, NFTGiveaway",-
1514742412543160320,"NFT, NFTGiveaway",-
1589099379721371648,"NFT, NFTGiveaway",-
1487948417552822272,"NFT, NFTGiveaway, NFTs, NFTGiveaways",BABS
1573210813447667712,"NFT, NFTGiveaway",-
1316392638593990656,"NFT, NFTGiveaway",-
1363898759701164032,"NFT, NFTGiveaway",-
1586698115452583936,"NFT, NFTGiveaway",-
1606766744877805568,"NFT, NFTGiveaway",-
1300475630476124160,"NFT, NFTGiveaway",-
1592719229723508736,"NFT, NFTGiveaway",-
1514747438145609728,"NFT, NFTGiveaway",-
1364895404639182848,"NFT, NFTGiveaway",-
1370398485858508800,"NFT, NFTGiveaway",-
1623597311283589120,"NFT, NFTGiveaway",-
1571987418651262976,"NFT, NFTGiveaway",-
1264215231368179712,"NFT, NFTGiveaway",-
175798572,"NFT, NFTGiveaway",-
1381563241759797248,"NFT, NFTGiveaway",-
1516782479314620416,"NFT, NFTGiveaway",-
1610446150225760256,"NFTs, NFT, NFTCommunity, Solana, Sol, SolanaNFT, Nftdrop, NFTartwork",-
1365181833437044736,"NFT, NFTGiveaway",-
1458078054706647040,"NFTGiveaway, NFTCommunity, NFTGame, NFTdrop, NFTs, NFTcollectors, Ethereum, FreeMint",-
1591122459750694912,"NFT, NFTGiveaway",-
1401437429567983616,"NFT, NFTGiveaway",-
1376441166376300544,"NFT, NFTGiveaway",-
1622688369795862528,"NFT, NFTGiveaway",-
1472963165935652864,"NFT, NFTGiveaway",-
1451806083505295360,"NFT, NFTGiveaway",-
1241707685193469952,"NFT, NFTGiveaway",-
1346083011406692352,"NFT, NFTGiveaway",-
3025797938,"NFT, NFTGiveaway",-
1390263984339652608,"NFT, NFTGiveaway",-
1617237761706131456,"NFT, NFTGiveaway",-
1404516921429483520,"NFT, NFTGiveaway",-
1514278501007994880,"NFT, NFTGiveaway",-
1380893806350884864,"NFT, NFTGiveaway",-
1315571555015954432,"NFT, NFTGiveaway",-
354810054,"NFT, NFTGiveaway",-
1389848861850566656,"NFT, NFTGiveaway",-
1486724791809687552,"NFT, NFTGiveaway",-
880952098703249408,"NFT, NFTGiveaway",-
1457734155551137792,"NFT, NFTGiveaway",-
301537298,"NFT, NFTGiveaway",-
1407631065913593856,"NFT, NFTGiveaway",-
1482556010770595840,"NFT, NFTGiveaway",-
2877116473,"NFT, NFTGiveaway",-
1329089299992641536,"NFT, NFTGiveaway",-
936821390,"NFT, NFTGiveaway",-
1288036813253128192,"NFT, NFTGiveaway",-
1412459525941055488,"NFT, NFTGiveaway",-
1487084110304608256,"NFT, NFTGiveaway",-
1536238184740560896,"NFT, NFTGiveaway",-
1366622262493765632,"NFT, NFTGiveaway",-
1613888738844893184,"NFT, NFTGiveaway",-
1508820893027356672,"NFT, NFTGiveaway",-
1277020324794494976,"NFT, NFTGiveaway",-
